Area,Topic,Grade,Covered
Number,"Add, subtract, multiply and divide whole & negative numbers",D,
Number,"Add, subtract, multiply and divide fractions",C,
Number,"Multiply and divide by 10, 100 and 1000",D,
Number,Divide and multiply by a number between 0 and 1,C,
Number,Divide and multiply decimal numbers,C,
Number,"Convert between fractions, decimals and percentages",C,
Number,"Order numbers, decimals and fractions",C,
Number,"Idenitfy factors, multiples and prime numbers",C,
Number,Prime number trees,C,
Number,Find the LCM and HCF ,C,
Number,Square numbers and cube numbers,C,
Number,Find square and cube roots,C,
Number,Use index laws to multiple and divide,C,
Number,Fractional and negative powers,A/B,
Number,Write numbers in standard form,B,
Number,Calculations with standard form,B,
Number,Equivalent fractions,D,
Number,Simplifying fractions,D,
Number,Convert between mixed and improper fractions,C/D,
Number,Compare fractions,C,
Number,Convert a recurring decimal into a fraction,A,
Number,Find percentages of a quantity to increase and decrease,C,
Number,Find a fraction of a quantity,C,
Number,Expression a number as a fraction of another,C,
Number,Find a percentage of a quantity with and without a calculator,C,
Number,Use the multiplier to increase or decrease an amount,B,
Number,Compound and simple interest,B,
Number,Depreciation,B,
Number,Percentage profit and loss,B,
Number,Reverse Percentages (calculate the original amount),B,
Number,Calculate repeated proportional change,B,
Number,Direct and inverse proportion,A*/A,
Number,Divide a quantity in a given ratio,C,
Number,Ratio - worded problems,C,
Number,Simplifying ratios,D,
Number,BIDMAS,D,
Number,Find reciprocals,C,
Number,"Round to powers of 10, decimals and significant figures",C,
Number,Estimation of answers using rounding,C,
Number,"Use surds and pi in exact calculations, without a calculator",A,
Number,Simplify surds,A,
Number,Rationalise surds,A,
Number,Multiply brackets with surds,A,
Number,Upper and lower bounds,A,
Number,"Calculations with upper and lower bound: Perimeter, area, volume",A*,
Number,"Use  a calculator: powers, roots, trig functions",A,
Number,Use calculators to explore exponential growth and decay,A*,
Measure,Use and interpret map and scale drawings,C,
Measure,Reading scales,D,
Measure,Work out time intervals,D,
Measure,Estimate measures in everyday settings,D,
